case_id,event_index,vertex_index,x_m,y_m
8,7,2,-534.5240872175601,-1446.5729585699528
8,8,0,888.7795872344417,-1478.0588552581448
8,8,1,889.6069564376874,-1478.5048134564154
8,8,2,908.8617624258442,-1467.9914888255153
9,0,0,769.2859871927753,124.49102796987385
9,0,1,769.9645389195299,124.12329419098026
9,0,2,772.4529417613519,133.26007535788477
9,0,3,771.4811267462397,133.83171880871848
9,1,0,502.85964860424576,-107.29897578653507
9,1,1,512.9244216422435,-109.44657271839986
9,1,2,512.9933242894562,-100.95680004900846
9,1,3,503.04445297344654,-103.02345111032413
9,2,0,365.66769834340755,-310.4719183039546
9,2,1,348.5006041954672,-318.8875646208634
9,2,2,366.3157613142953,-338.1767712600303
9,2,3,382.20244728368584,-329.68516069247295
9,3,0,-546.2904312368255,-613.2506766238242
9,3,1,-546.5474335142325,-613.5391803418133
9,3,2,-532.2262363021596,-641.4111988314868
9,3,3,-531.2240005596384,-640.2033567799775
9,4,0,-1045.5783263910084,-612.0887555852121
9,4,1,-1046.9836377075674,-612.9114345115546
9,4,2,-1040.8450980432694,-622.4238171484984
9,4,3,-1039.1585938258538,-622.8472812698066
9,5,0,-90.08389698502295,-1210.9467138142948
9,5,1,-110.62905749683726,-1207.7826757597602
9,5,2,-111.82495449324948,-1208.3754139128912
9,6,0,1051.7073908458112,-1144.18463892617
9,6,1,1052.268773244411,-1144.896365776611
9,6,2,1063.0628841194223,-1129.9985761992857
9,6,3,1061.384480776001,-1129.7917507597367
9,7,0,1491.4342681131916,-675.1721664529256
9,7,1,1496.5521975592012,-682.1893131780217
9,7,2,1504.2831168159275,-681.9524369516963
9,7,3,1520.6104048325203,-664.8758587362472
9,7,4,1511.616180451387,-653.4112817192442
9,7,5,1510.77668658922,-653.4665257810602
9,8,0,837.7204853989393,-64.88300048019364
9,8,1,821.885493992095,-71.25344224147723
9,8,2,834.8358999944393,-72.83322858015302
