family,id,seconds_per_source,cumulative_probability
mixed,937,515.3785972307692,0.49194414607948445
mixed,636,515.6007246,0.49301825993555315
mixed,858,515.6579079285714,0.4940923737916219
mixed,928,515.7767987142857,0.49516648764769067
mixed,687,515.9567328333334,0.49624060150375937
mixed,964,516.0220416923077,0.49731471535982813
mixed,129,516.1184808461538,0.4983888292158969
mixed,725,516.158895,0.49946294307196565
mixed,758,516.1691256923077,0.5005370569280344
mixed,351,516.2320807692308,0.5016111707841031
mixed,632,516.6819800833333,0.5026852846401718
mixed,355,517.0549603571428,0.5037593984962406
mixed,357,517.1148385833334,0.5048335123523093
mixed,608,517.2328386428571,0.505907626208378
mixed,827,517.6556946153846,0.5069817400644469
mixed,614,517.89141925,0.5080558539205156
mixed,753,517.951367,0.5091299677765844
mixed,28,518.0638435,0.5102040816326531
mixed,708,518.0878223076924,0.5112781954887218
mixed,413,518.1056495833333,0.5123523093447906
mixed,267,518.2535010769232,0.5134264232008593
mixed,696,518.3291841428571,0.514500537056928
mixed,706,518.5665230769231,0.5155746509129968
mixed,120,518.6566627142857,0.5166487647690655
mixed,505,518.671352,0.5177228786251342
mixed,783,519.1421714285714,0.518796992481203
mixed,625,519.18600825,0.5198711063372717
mixed,454,519.3730296923077,0.5209452201933404
mixed,660,519.4286028333333,0.5220193340494093
mixed,582,519.4375209230769,0.523093447905478
mixed,826,519.4646671428571,0.5241675617615468
mixed,490,519.7095248461538,0.5252416756176155
mixed,496,520.3049512307692,0.5263157894736842
mixed,995,520.655443,0.527389903329753
mixed,100,520.7484740833333,0.5284640171858217
mixed,319,520.8328823571429,0.5295381310418904
mixed,202,521.0701669230768,0.5306122448979592
mixed,905,521.3230563333333,0.5316863587540279
mixed,235,521.89163275,0.5327604726100966
mixed,311,522.2864365714286,0.5338345864661654
mixed,188,522.2897546153846,0.5349087003222341
mixed,655,522.4442553846154,0.5359828141783028
mixed,140,522.5410388461539,0.5370569280343717
mixed,77,522.5991441666666,0.5381310418904404
mixed,376,522.7470585,0.5392051557465092
mixed,43,522.8210762857143,0.5402792696025779
mixed,222,523.0737256923077,0.5413533834586466
mixed,177,523.1403837500001,0.5424274973147154
mixed,926,523.2979029285714,0.5435016111707841
mixed,616,524.1186095714286,0.5445757250268528
mixed,732,524.2417994615384,0.5456498388829216
mixed,124,524.2704424166667,0.5467239527389903
mixed,136,525.1052570714286,0.547798066595059
mixed,418,525.6001878666667,0.5488721804511278
mixed,285,525.9819846153846,0.5499462943071965
mixed,268,526.2190559230769,0.5510204081632653
mixed,985,526.3231609230769,0.5520945220193341
mixed,387,526.4561023846154,0.5531686358754028
mixed,464,526.8505361666666,0.5542427497314716
mixed,748,526.9605111666666,0.5553168635875403
mixed,798,526.9898687142858,0.556390977443609
mixed,884,527.2794654166667,0.5574650912996778
mixed,166,527.3593681538462,0.5585392051557465
mixed,487,527.7333923076923,0.5596133190118152
mixed,258,528.2114668666667,0.560687432867884
mixed,273,528.7654509166667,0.5617615467239527
mixed,921,528.8131689166667,0.5628356605800214
mixed,512,528.9757105384616,0.5639097744360902
mixed,21,529.1719525384616,0.564983888292159
mixed,589,529.8440983846153,0.5660580021482277
mixed,310,530.4098022857144,0.5671321160042965
mixed,295,530.9870176923076,0.5682062298603652
mixed,902,531.8281718461539,0.569280343716434
mixed,919,531.9116875,0.5703544575725027
mixed,114,532.2194402307692,0.5714285714285714
mixed,774,532.3983768571428,0.5725026852846402
mixed,997,532.6789843333333,0.5735767991407089
mixed,747,533.0506149333333,0.5746509129967776
mixed,602,533.1901430833333,0.5757250268528464
mixed,88,533.2559727142857,0.5767991407089151
mixed,541,533.3689477500001,0.5778732545649838
mixed,658,533.3910163333334,0.5789473684210527
mixed,431,533.537961923077,0.5800214822771214
mixed,688,534.501225,0.5810955961331902
mixed,666,534.8074396923076,0.5821697099892589
mixed,485,534.9258521818182,0.5832438238453276
mixed,255,535.286683,0.5843179377013964
mixed,332,535.3217379285715,0.5853920515574651
mixed,713,535.8646730833333,0.5864661654135338
mixed,877,535.94415375,0.5875402792696026
