seed,total,C_s_per_source,R12_s_per_source,delta_s_per_source,delta_distance_m
417,15,602.4292294666667,453.76895353333333,-148.66027593333337,-8554.520679417517
418,15,605.4669642666667,510.48113386666665,-94.9858304,-5668.937283325118
419,15,588.9822602666667,505.33171393333333,-83.65054633333335,-4673.790985937467
420,13,718.0258287692307,639.7383999230769,-78.28742884615372,-3558.682873299469
421,15,627.2475399333333,492.886577,-134.36096293333333,-7342.072203414038
422,13,645.1014321538461,524.8672703846154,-120.2341617692307,-4770.220519932114
423,12,740.8274741666668,544.4049014999999,-196.42257266666684,-9330.354330694474
424,12,797.6861165,583.0721234166666,-214.6139930833334,-9286.839557370458
425,14,654.7553124285714,499.6365236428572,-155.11878878571423,-6113.315178714449
426,16,427.768611125,450.620692875,22.852081749999968,1093.166541038252
427,13,695.455242,550.0918091538462,-145.36343284615384,-5688.623109875476
428,11,841.184457909091,710.3866246363636,-130.7978332727273,-3873.8808305348357
429,11,832.0059580909091,678.2239932727273,-153.7819648181818,-5408.008062087847
430,14,620.8865198571428,513.6139075,-107.27261235714286,-5484.08285756033
431,14,656.225784357143,543.2491190714286,-112.97666528571438,-6113.366531053816
432,13,703.1571770769231,518.9712711538461,-184.18590592307692,-7762.083863377251
433,14,612.6265971428572,481.2350742857143,-131.39152285714295,-8177.406574349312
434,12,708.1430945000001,586.946952,-121.19614250000006,-3601.768527925735
435,14,618.5566391428572,490.6393582857143,-127.91728085714288,-6319.209662402325
436,12,739.7568048333333,585.5098949166667,-154.2469099166666,-5649.814577116871
437,15,638.3806115333333,545.7118458,-92.66876573333332,-4910.157417777238
438,11,823.4706923636364,688.0520119090909,-135.41868045454555,-3393.027401940766
439,12,768.6195965000001,577.317034,-191.30256250000002,-8483.153746799264
440,16,595.6111415,469.3190644375,-126.29207706250003,-6098.366178372922
441,14,610.4393236428571,473.2881675714286,-137.1511560714285,-7350.580891341717
442,10,918.4159167,672.8709328,-245.54498390000003,-9187.249178740825
443,12,726.7275249166668,585.2041184999999,-141.52340641666683,-5776.404350486904
444,13,746.8393980769231,603.9258353846154,-142.91356269230766,-7079.3815539695825
445,11,849.8379364545455,675.5367093636364,-174.30122709090904,-7271.567466522763
446,16,559.2357956875,541.2262989375,-18.009496749999926,714.240277648365
447,14,628.2752757142856,485.6129185,-142.66235721428563,-8386.364983979387
448,16,499.259695125,393.92901925,-105.330675875,-5856.454054408961
